Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenetv2_alpha_0.75.onnx,mobilenetv2_alpha_0.75
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,5388
Conv,16257024.0,8128512.0,0,0,0,0,1204224,2592.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,192,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,1204224,864.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,192,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,9633792.0,4816896.0,0,0,0,0,802816,1536.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,128,0
Conv,38535168.0,19267584.0,0,0,0,0,4816896,6144.0,0
BatchNormalization,0,0,1204224,0,1204224,0,4816896,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,1204224,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,86400
Conv,5419008.0,2709504.0,0,0,0,0,1204224,3456.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,14450688.0,7225344.0,0,0,0,0,301056,9216.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,192,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,21676032.0,10838016.0,0,0,0,0,1806336,13824.0,0
BatchNormalization,0,0,451584,0,451584,0,1806336,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,451584,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,8128512.0,4064256.0,0,0,0,0,1806336,5184.0,0
BatchNormalization,0,0,451584,0,451584,0,1806336,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,451584,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,21676032.0,10838016.0,0,0,0,0,301056,13824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,192,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,75264,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,21676032.0,10838016.0,0,0,0,0,1806336,13824.0,0
BatchNormalization,0,0,451584,0,451584,0,1806336,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,451584,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,65088
Conv,2032128.0,1016064.0,0,0,0,0,451584,5184.0,0
BatchNormalization,0,0,112896,0,112896,0,451584,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,112896,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,75264,13824.0,0
BatchNormalization,0,0,18816,0,18816,0,75264,192,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,451584,13824.0,0
BatchNormalization,0,0,112896,0,112896,0,451584,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,112896,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2032128.0,1016064.0,0,0,0,0,451584,5184.0,0
BatchNormalization,0,0,112896,0,112896,0,451584,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,112896,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,75264,13824.0,0
BatchNormalization,0,0,18816,0,18816,0,75264,192,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,18816,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,451584,13824.0,0
BatchNormalization,0,0,112896,0,112896,0,451584,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,112896,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2032128.0,1016064.0,0,0,0,0,451584,5184.0,0
BatchNormalization,0,0,112896,0,112896,0,451584,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,112896,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,75264,13824.0,0
BatchNormalization,0,0,18816,0,18816,0,75264,192,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,18816,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,451584,13824.0,0
BatchNormalization,0,0,112896,0,112896,0,451584,1152,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,112896,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,32832
Conv,508032.0,254016.0,0,0,0,0,112896,5184.0,0
BatchNormalization,0,0,28224,0,28224,0,112896,1152,0
Transpose,0,0,0,0,0,0,0,0,0
