Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenetv2_alpha_1.4.onnx,mobilenetv2_alpha_1.4
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,382092
Conv,1160807648.0,580403824.0,0,0,0,0,38293696,17071360.0,0
BatchNormalization,0,0,9573424,0,9573424,0,38293696,191744,0
Clip,0,0,0,8754928,0,0,0,0,0
Add,0,0,303624,0,0,0,0,0,0
GlobalAveragePool,0,0,87808,0,0,0,7168,0,0
Reshape,0,0,0,0,0,0,7168,0,0
MatMul,3584999,1792500.0,0,0,0,0,4000,0,0
Softmax,0,0,1000,0,1000,1000,4000,0,0
Identity,0,0,0,0,0,0,4000,0,0
