Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenetv2_alpha_1.3.onnx,mobilenetv2_alpha_1.3
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,62720,153600.0,0
BatchNormalization,0,0,15680,0,15680,0,62720,640,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,15680,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,376320,153600.0,0
BatchNormalization,0,0,94080,0,94080,0,376320,3840,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,94080,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1693440.0,846720.0,0,0,0,0,376320,17280.0,0
BatchNormalization,0,0,94080,0,94080,0,376320,3840,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,94080,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,62720,153600.0,0
BatchNormalization,0,0,15680,0,15680,0,62720,640,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,15680,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,376320,153600.0,0
BatchNormalization,0,0,94080,0,94080,0,376320,3840,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,94080,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1693440.0,846720.0,0,0,0,0,376320,17280.0,0
BatchNormalization,0,0,94080,0,94080,0,376320,3840,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,94080,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,62720,153600.0,0
BatchNormalization,0,0,15680,0,15680,0,62720,640,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,15680,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15052800.0,7526400.0,0,0,0,0,376320,153600.0,0
BatchNormalization,0,0,94080,0,94080,0,376320,3840,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,94080,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1693440.0,846720.0,0,0,0,0,376320,17280.0,0
BatchNormalization,0,0,94080,0,94080,0,376320,3840,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,94080,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,24084480.0,12042240.0,0,0,0,0,100352,245760.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,602112,393216.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,6144,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2709504.0,1354752.0,0,0,0,0,602112,27648.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,6144,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,100352,393216.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,25088,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,602112,393216.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,6144,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2709504.0,1354752.0,0,0,0,0,602112,27648.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,6144,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,100352,393216.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,25088,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,38535168.0,19267584.0,0,0,0,0,602112,393216.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,6144,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,89088
Conv,677376.0,338688.0,0,0,0,0,150528,27648.0,0
BatchNormalization,0,0,37632,0,37632,0,150528,6144,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,37632,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,15654912.0,7827456.0,0,0,0,0,40768,638976.0,0
BatchNormalization,0,0,10192,0,10192,0,40768,1664,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,25439232.0,12719616.0,0,0,0,0,244608,1038336.0,0
BatchNormalization,0,0,61152,0,61152,0,244608,9984,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,61152,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1100736.0,550368.0,0,0,0,0,244608,44928.0,0
BatchNormalization,0,0,61152,0,61152,0,244608,9984,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,61152,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,25439232.0,12719616.0,0,0,0,0,40768,1038336.0,0
BatchNormalization,0,0,10192,0,10192,0,40768,1664,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,10192,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,25439232.0,12719616.0,0,0,0,0,244608,1038336.0,0
BatchNormalization,0,0,61152,0,61152,0,244608,9984,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,61152,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1100736.0,550368.0,0,0,0,0,244608,44928.0,0
BatchNormalization,0,0,61152,0,61152,0,244608,9984,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,61152,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,25439232.0,12719616.0,0,0,0,0,40768,1038336.0,0
BatchNormalization,0,0,10192,0,10192,0,40768,1664,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,10192,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,25439232.0,12719616.0,0,0,0,0,244608,1038336.0,0
BatchNormalization,0,0,61152,0,61152,0,244608,9984,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,61152,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1100736.0,550368.0,0,0,0,0,244608,44928.0,0
BatchNormalization,0,0,61152,0,61152,0,244608,9984,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,61152,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,50878464.0,25439232.0,0,0,0,0,81536,2076672.0,0
BatchNormalization,0,0,20384,0,20384,0,81536,3328,0
Conv,67837952.0,33918976.0,0,0,0,0,326144,2768896.0,0
BatchNormalization,0,0,81536,0,81536,0,326144,13312,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,81536,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
GlobalAveragePool,0,0,81536,0,0,0,6656,0,0
Transpose,0,0,0,0,0,0,0,0,0
Reshape,0,0,0,0,0,0,6656,0,0
MatMul,3328999,1664500.0,0,0,0,0,4000,0,0
Add,0,0,1000,0,0,0,0,0,0
Softmax,0,0,1000,0,1000,1000,4000,0,0
Identity,0,0,0,0,0,0,4000,0,0
