Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_nasnet_large.onnx,nasnet_large
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Conv,6071296.0,3035648.0,0,0,0,0,275968,3872.0,0
Conv,1517824.0,758912.0,0,0,0,0,68992,3872.0,0
Conv,1517824.0,758912.0,0,0,0,0,68992,3872.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
Relu,0,0,0,17248,0,0,68992,0,0
Relu,0,0,0,17248,0,0,68992,0,0
BatchNormalization,0,0,68992,0,68992,0,275968,176,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,68992,0,0,275968,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,30360
Conv,862400.0,431200.0,0,0,0,0,68992,2200.0,0
Conv,758912.0,379456.0,0,0,0,0,68992,1936.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
Relu,0,0,0,17248,0,0,68992,0,0
Conv,862400.0,431200.0,0,0,0,0,68992,2200.0,0
Conv,758912.0,379456.0,0,0,0,0,68992,1936.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
Concat,0,0,0,0,0,0,137984,0,0
Add,0,0,17248,0,0,0,0,0,0
Relu,0,0,0,17248,0,0,68992,0,0
Conv,310464.0,155232.0,0,0,0,0,68992,792.0,0
Conv,758912.0,379456.0,0,0,0,0,68992,1936.0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
Relu,0,0,0,17248,0,0,68992,0,0
Conv,310464.0,155232.0,0,0,0,0,68992,792.0,0
Conv,758912.0,379456.0,0,0,0,0,68992,1936.0,0
Conv,862400.0,431200.0,0,0,0,0,68992,2200.0,0
Conv,758912.0,379456.0,0,0,0,0,68992,1936.0,0
Conv,1690304.0,845152.0,0,0,0,0,68992,4312.0,0
Conv,758912.0,379456.0,0,0,0,0,68992,1936.0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,9944
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
MaxPool,0,0,0,155232,0,0,68992,0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
AveragePool,0,0,155232,0,0,0,68992,0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
AveragePool,0,0,155232,0,0,0,68992,0,0
BatchNormalization,0,0,17248,0,17248,0,68992,176,0
MaxPool,0,0,0,155232,0,0,68992,0,0
Add,0,0,17248,0,0,0,0,0,0
Add,0,0,17248,0,0,0,0,0,0
Add,0,0,17248,0,0,0,0,0,0
Add,0,0,17248,0,0,0,0,0,0
Concat,0,0,0,0,0,0,275968,0,0
Relu,0,0,0,68992,0,0,275968,0,0
Conv,6071296.0,3035648.0,0,0,0,0,137984,15488.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Add,0,0,34496,0,0,0,0,0,0
Add,0,0,34496,0,0,0,0,0,0
Concat,0,0,0,0,0,0,827904,0,0
Relu,0,0,0,206976,0,0,827904,0,0
Relu,0,0,0,206976,0,0,827904,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,18213888.0,9106944.0,0,0,0,0,137984,46464.0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,18213888.0,9106944.0,0,0,0,0,137984,46464.0,0
Relu,0,0,0,68992,0,0,275968,0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
AveragePool,0,0,310464,0,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Conv,6071296.0,3035648.0,0,0,0,0,137984,15488.0,0
Add,0,0,34496,0,0,0,0,0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Relu,0,0,0,34496,0,0,137984,0,0
Conv,1724800.0,862400.0,0,0,0,0,137984,4400.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
BatchNormalization,0,0,34496,0,34496,0,137984,352,0
Add,0,0,34496,0,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Relu,0,0,0,34496,0,0,137984,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,620928.0,310464.0,0,0,0,0,137984,1584.0,0
Conv,3035648.0,1517824.0,0,0,0,0,137984,7744.0,0
