Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenet_alpha_0.75.onnx,mobilenet_alpha_0.75
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,5388
Conv,16257024.0,8128512.0,0,0,0,0,1204224,2592.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,192,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,1204224,864.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,192,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,28901376.0,14450688.0,0,0,0,0,2408448,4608.0,0
BatchNormalization,0,0,602112,0,602112,0,2408448,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,602112,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,43200
Conv,2709504.0,1354752.0,0,0,0,0,602112,1728.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,384,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,28901376.0,14450688.0,0,0,0,0,1204224,18432.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,5419008.0,2709504.0,0,0,0,0,1204224,3456.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,57802752.0,28901376.0,0,0,0,0,1204224,36864.0,0
BatchNormalization,0,0,301056,0,301056,0,1204224,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,301056,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,43392
Conv,1354752.0,677376.0,0,0,0,0,301056,3456.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,768,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,28901376.0,14450688.0,0,0,0,0,602112,73728.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,2709504.0,1354752.0,0,0,0,0,602112,6912.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,57802752.0,28901376.0,0,0,0,0,602112,147456.0,0
BatchNormalization,0,0,150528,0,150528,0,602112,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,150528,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,43776
Conv,677376.0,338688.0,0,0,0,0,150528,6912.0,0
BatchNormalization,0,0,37632,0,37632,0,150528,1536,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,37632,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,28901376.0,14450688.0,0,0,0,0,301056,294912.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1354752.0,677376.0,0,0,0,0,301056,13824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,57802752.0,28901376.0,0,0,0,0,301056,589824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1354752.0,677376.0,0,0,0,0,301056,13824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,57802752.0,28901376.0,0,0,0,0,301056,589824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1354752.0,677376.0,0,0,0,0,301056,13824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,57802752.0,28901376.0,0,0,0,0,301056,589824.0,0
BatchNormalization,0,0,75264,0,75264,0,301056,3072,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,75264,0,0,0,0,0
