Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_mobilenet_alpha_0.25.onnx,mobilenet_alpha_0.25
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,5388
Conv,5419008.0,2709504.0,0,0,0,0,401408,864.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,64,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1806336.0,903168.0,0,0,0,0,401408,288.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,64,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3211264.0,1605632.0,0,0,0,0,802816,512.0,0
BatchNormalization,0,0,200704,0,200704,0,802816,128,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,200704,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,14400
Conv,903168.0,451584.0,0,0,0,0,200704,576.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,128,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,50176,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3211264.0,1605632.0,0,0,0,0,401408,2048.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,256,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,1806336.0,903168.0,0,0,0,0,401408,1152.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,256,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,6422528.0,3211264.0,0,0,0,0,401408,4096.0,0
BatchNormalization,0,0,100352,0,100352,0,401408,256,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,100352,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,14464
Conv,451584.0,225792.0,0,0,0,0,100352,1152.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,256,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3211264.0,1605632.0,0,0,0,0,200704,8192.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,512,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,50176,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,903168.0,451584.0,0,0,0,0,200704,2304.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,512,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,50176,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,6422528.0,3211264.0,0,0,0,0,200704,16384.0,0
BatchNormalization,0,0,50176,0,50176,0,200704,512,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,50176,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,14592
Conv,225792.0,112896.0,0,0,0,0,50176,2304.0,0
BatchNormalization,0,0,12544,0,12544,0,50176,512,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,12544,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,3211264.0,1605632.0,0,0,0,0,100352,32768.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,451584.0,225792.0,0,0,0,0,100352,4608.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,6422528.0,3211264.0,0,0,0,0,100352,65536.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,451584.0,225792.0,0,0,0,0,100352,4608.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,6422528.0,3211264.0,0,0,0,0,100352,65536.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,451584.0,225792.0,0,0,0,0,100352,4608.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
Conv,6422528.0,3211264.0,0,0,0,0,100352,65536.0,0
BatchNormalization,0,0,25088,0,25088,0,100352,1024,0
Transpose,0,0,0,0,0,0,0,0,0
Clip,0,0,0,25088,0,0,0,0,0
Transpose,0,0,0,0,0,0,0,0,0
