Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_resnet152v2.onnx,resnet152v2
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
BatchNormalization,0,0,492032,0,492032,0,1968128,4096,0
Relu,0,0,0,492032,0,0,1968128,0,0
Conv,125960192.0,62980096.0,0,0,0,0,492032,262144.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Pad,0,0,0,0,0,0,0,0,65536
Conv,283410432.0,141705216.0,0,0,0,0,492032,589824.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Conv,125960192.0,62980096.0,0,0,0,0,1968128,264192.0,0
Add,0,0,492032,0,0,0,0,0,0
BatchNormalization,0,0,492032,0,492032,0,1968128,4096,0
Relu,0,0,0,492032,0,0,1968128,0,0
Conv,125960192.0,62980096.0,0,0,0,0,492032,262144.0,0
BatchNormalization,0,0,123008,0,123008,0,492032,1024,0
Relu,0,0,0,123008,0,0,492032,0,0
Pad,0,0,0,0,0,0,0,0,65536
Conv,75497472.0,37748736.0,0,0,0,0,131072,589824.0,0
BatchNormalization,0,0,32768,0,32768,0,131072,1024,0
Relu,0,0,0,32768,0,0,131072,0,0
Conv,33554432.0,16777216.0,0,0,0,0,524288,264192.0,0
MaxPool,0,0,0,131072,0,0,524288,0,0
Add,0,0,131072,0,0,0,0,0,0
BatchNormalization,0,0,131072,0,131072,0,524288,4096,0
Relu,0,0,0,131072,0,0,524288,0,0
Conv,67108864.0,33554432.0,0,0,0,0,262144,524288.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
Conv,268435456.0,134217728.0,0,0,0,0,1048576,2101248.0,0
Add,0,0,262144,0,0,0,0,0,0
BatchNormalization,0,0,262144,0,262144,0,1048576,8192,0
Relu,0,0,0,262144,0,0,1048576,0,0
Conv,134217728.0,67108864.0,0,0,0,0,262144,1048576.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Pad,0,0,0,0,0,0,0,0,69632
Conv,301989888.0,150994944.0,0,0,0,0,262144,2359296.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
Relu,0,0,0,65536,0,0,262144,0,0
Conv,134217728.0,67108864.0,0,0,0,0,1048576,1052672.0,0
Add,0,0,262144,0,0,0,0,0,0
BatchNormalization,0,0,262144,0,262144,0,1048576,8192,0
Relu,0,0,0,262144,0,0,1048576,0,0
Conv,134217728.0,67108864.0,0,0,0,0,262144,1048576.0,0
BatchNormalization,0,0,65536,0,65536,0,262144,2048,0
