Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_resnet101v2.onnx,resnet101v2
,,,,
operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
14388954087.0,7194477044.0,20260560,14438144,12281576,1000,158032608,170115584.0,2170800
