Model Producer Name, Model Producer Ver., Model Domain, Model Filename, Model Name
keras2onnx,1.6.5,onnx,models/imagenet_densenet121.onnx,densenet121
,,,,
op_type,operations_flops,operations_multiply_adds,operations_additions,operations_comparisons,operations_divisions,operations_exponentials,memory_activations,memory_parameters,memory_other_memory
Transpose,0,0,0,0,0,0,0,0,0
Pad,0,0,0,0,0,0,0,0,148400
Conv,6124068864.0,3062034432.0,0,0,0,0,29243136,27480832.0,0
BatchNormalization,0,0,16985120,0,16985120,0,67940480,334592,0
Relu,0,0,0,16985120,0,0,67940480,0,0
MaxPool,0,0,0,1871424,0,0,831744,0,0
Identity,0,0,0,0,0,0,1627808,0,0
Concat,0,0,0,0,0,0,44668288,0,0
AveragePool,0,0,792064,0,0,0,792064,0,0
GlobalAveragePool,0,0,65536,0,0,0,4096,0,0
Reshape,0,0,0,0,0,0,4096,0,0
MatMul,2048999,1024500.0,0,0,0,0,4000,0,0
Add,0,0,1000,0,0,0,0,0,0
Softmax,0,0,1000,0,1000,1000,4000,0,0
